state,occurances
Alabama,0.00009032088039
Alaska,0.00009895192292
Arizona,0.00007873449599
Arkansas,0.00001703361869
California,0.00006239288706
Colorado,0.00004443734111
Connecticut,0.00002113061584
Delaware,0.00003847740628
Florida,0.00005549607991
Georgia,0.00002891849866
Hawaii,0.00001549774895
Idaho,0.00003242653249
Illinois,0.00001964197264
Indiana,0.00001515873852
Iowa,0.00001448283719
Kansas,0.00003340196231
Kentucky,0.00001925927906
Louisiana,0.00009441518076
Maine,0.00004360610455
Maryland,0.00003212632607
Massachusetts,0.00001690038616
Michigan,0.00001412731964
Minnesota,0.00003903119802
Mississippi,0.00009112453709
Missouri,0.0000268817692
Montana,0.00005080213643
Nebraska,0.0000201966194
Nevada,0.00009087390049
New Hampshire,0.00002034951421
New Jersey,0.00001320180014
New Mexico,0.00006041508037
New York,0.00002294109148
North Carolina,0.00003338708789
North Dakota,0.00002163676736
Ohio,0.00001949256708
Oklahoma,0.00003403771637
Oregon,0.0000544047852
Pennsylvania,0.00001446758241
Rhode Island,0.00001990194973
South Carolina,0.00002338342905
South Dakota,0.00003281858939
Tennessee,0.00002137616057
Texas,0.00003973000218
Utah,0.00005063029622
Vermont,0.00003354573642
Virginia,0.00001501269053
Washington,0.00003823533993
West Virginia,0.00002323914813
Wisconsin,0.00001424213435
Wyoming,0.00006162769001
District of Columbia,0.00009561491775
